,Planete,Distance au Soleil (millions de km),Temps de révolution (jours),Diamètre (km),Température moyenne (°C)
0,Mercure,57.91,88,4879,167
1,Venus,108.2,225,12104,464
2,Terre,149.6,365,12742,15
3,Mars,227.9,687,6779,-60
4,Jupiter,778.3,4333,139820,-108
5,Saturne,1427.0,10759,116460,-140
6,Uranus,2871.0,30687,50724,-195
7,Neptune,4495.0,60190,49244,-200
